,Log2 fold change,std error (log2),Lower confidence limit (log2),Upper confidence limit (log2),Linear fold change,Lower confidence limit (linear),Upper confidence limit (linear),P-value,BY.p.value,method,Gene.sets,probe.ID
P2RY12-mRNA,0.168,0.354,-0.526,0.862,1.12,0.695,1.82,0.64,1,lm.nb,"Homeostatic Microglia, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia, Purinergic Signaling, Stage 1 DAM",NM_022788.3:230
TIAM1-mRNA,0.111,0.234,-0.348,0.569,1.08,0.786,1.48,0.641,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Neurotrophin Signaling",NM_001353691.1:4520
IFIT3-mRNA,-0.436,0.921,-2.24,1.37,0.739,0.212,2.58,0.641,1,Wald,Interferon Signaling,NM_001031683.2:1470
PTH2R-mRNA,-0.514,1.09,-2.65,1.62,0.7,0.16,3.07,0.642,1,Wald,Neuroactive Ligands and Receptors,NM_001371906.1:1170
PTPN11-mRNA,-0.0396,0.0845,-0.205,0.126,0.973,0.867,1.09,0.644,1,lm.nb,"Interferon Signaling, Neurogenesis, Neurotrophin Signaling",NM_002834.3:1480
TANC2-mRNA,-0.082,0.175,-0.426,0.262,0.945,0.745,1.2,0.645,1,lm.nb,Cytoskeletal Dynamics,NM_025185.3:2490
LAIR1-mRNA,0.565,1.22,-1.82,2.95,1.48,0.283,7.73,0.648,1,Wald,T-cell signaling,NM_001289023.2:864
CLDN5-mRNA,0.152,0.332,-0.5,0.804,1.11,0.707,1.75,0.652,1,lm.nb,"Blood Brain Barrier, Cell Migration, Myelogenesis",NM_001130861.1:1422
CLEC7A-mRNA,0.647,1.42,-2.15,3.44,1.57,0.226,10.8,0.655,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, Stage 2 DAM",NM_197954.3:78
GRIA1-mRNA,-0.12,0.265,-0.64,0.4,0.92,0.642,1.32,0.656,1,lm.nb,"Cannabinoid Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000827.3:2840
MAP2K1-mRNA,-0.105,0.237,-0.57,0.36,0.93,0.673,1.28,0.661,1,lm.nb,MAPK & PI3K,NM_002755.3:1174
HDAC2-mRNA,-0.0836,0.189,-0.455,0.288,0.944,0.73,1.22,0.664,1,lm.nb,"Cell Cycle, Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_001527.1:930
LRRC25-mRNA,0.448,1.02,-1.54,2.44,1.36,0.344,5.42,0.664,1,Wald,,NM_145256.2:796
TMEM119-mRNA,0.972,2.21,-3.36,5.3,1.96,0.0974,39.5,0.665,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia, Stage 1 DAM",NM_181724.2:415
PECAM1-mRNA,-0.148,0.341,-0.816,0.52,0.902,0.568,1.43,0.668,1,lm.nb,"Blood Brain Barrier, Cell Migration",NM_000442.3:1365
CD34-mRNA,0.136,0.315,-0.481,0.753,1.1,0.717,1.68,0.67,1,lm.nb,Cell Migration,NM_001025109.1:650
SLC12A5-mRNA,-0.115,0.268,-0.641,0.41,0.923,0.641,1.33,0.672,1,lm.nb,"GABAergic Synapse, Neurogenesis",NM_001134771.1:2825
TLR7-mRNA,0.78,1.81,-2.77,4.33,1.72,0.146,20.1,0.672,1,Wald,NF-kappaB Signaling,NM_016562.3:3098
SIRT5-mRNA,-0.0363,0.0844,-0.202,0.129,0.975,0.869,1.09,0.672,1,loglinear,Glucose Metabolism,NM_012241.3:300
PRKCZ-mRNA,-0.102,0.237,-0.566,0.363,0.932,0.675,1.29,0.672,1,lm.nb,"Insulin Signaling, Neurogenesis",NM_002744.4:943
CCNA1-mRNA,-0.61,1.42,-3.4,2.18,0.655,0.0949,4.52,0.673,1,Wald,Cell Cycle,NM_003914.3:1605
IL10RA-mRNA,0.745,1.82,-2.82,4.31,1.68,0.142,19.8,0.687,1,Wald,Cytokines,NM_001558.2:150
GRM7-mRNA,-0.549,1.35,-3.2,2.1,0.684,0.109,4.28,0.689,1,Wald,"Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000844.2:2575
GRIN3A-mRNA,-0.215,0.531,-1.26,0.825,0.861,0.419,1.77,0.689,1,lm.nb,"Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_133445.2:3167
SPHK1-mRNA,-0.395,0.976,-2.31,1.52,0.76,0.202,2.86,0.69,1,Wald,"A2 Astrocyte, Calcium Signaling, Phagocytosis",NM_021972.2:895
MSR1-mRNA,0.538,1.34,-2.09,3.17,1.45,0.235,8.97,0.693,1,Wald,Microglia Neurodegenerative Phenotype (MGnD),NM_002445.3:326
ACAT1-mRNA,-0.0501,0.126,-0.298,0.198,0.966,0.813,1.15,0.696,1,lm.nb,Lipid Metabolism,NM_000019.3:282
GJB1-mRNA,0.545,1.38,-2.17,3.26,1.46,0.223,9.56,0.698,1,Wald,Gap Junctions,NM_000166.5:165
AMPH-mRNA,-0.134,0.344,-0.809,0.541,0.911,0.571,1.46,0.701,1,lm.nb,Phagocytosis,NM_001635.3:526
TRAC-mRNA,0.549,1.41,-2.22,3.32,1.46,0.214,9.99,0.702,1,Wald,T-cell signaling,ENST00000611116.1:361
CASP3-mRNA,-0.0371,0.0981,-0.229,0.155,0.975,0.853,1.11,0.709,1,lm.nb,Apoptosis,NM_004346.3:875
LILRB4-mRNA,0.78,2.06,-3.25,4.81,1.72,0.105,28.1,0.709,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Stage 2 DAM",NM_001278429.3:543
ANK2-mRNA,-0.0561,0.151,-0.351,0.239,0.962,0.784,1.18,0.714,1,lm.nb,"Cytoskeletal Dynamics, Myelogenesis",NM_001148.5:11581
S100B-mRNA,-0.124,0.333,-0.776,0.528,0.918,0.584,1.44,0.714,1,lm.nb,"Astrocyte Markers, Myelogenesis, Neurogenesis",NM_006272.2:304
TRIM17-mRNA,0.805,2.18,-3.46,5.08,1.75,0.0906,33.7,0.716,1,Wald,Interferon Signaling,NM_001024940.2:755
CUX2-mRNA,-0.142,0.384,-0.894,0.611,0.906,0.538,1.53,0.716,1,lm.nb,"Neurogenesis, Neuronal Markers",NM_015267.3:303
PPP3CB-mRNA,-0.0862,0.24,-0.557,0.385,0.942,0.679,1.31,0.724,1,lm.nb,"Calcium Signaling, MAPK & PI3K",NM_021132.2:270
ZNF365-mRNA,-0.0961,0.27,-0.626,0.434,0.936,0.648,1.35,0.726,1,lm.nb,"Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_014951.2:493
MMUT-mRNA,-0.086,0.242,-0.561,0.389,0.942,0.678,1.31,0.726,1,lm.nb,Lipid Metabolism,NM_000255.2:2000
ITGA7-mRNA,0.0953,0.269,-0.433,0.623,1.07,0.741,1.54,0.727,1,lm.nb,Cell Migration,NM_002206.1:1170
OLFML3-mRNA,0.441,1.29,-2.08,2.96,1.36,0.237,7.79,0.735,1,Wald,"Microglial Markers, Primed Microglia",NM_020190.4:490
HSD11B1-mRNA,0.449,1.31,-2.13,3.02,1.37,0.229,8.13,0.736,1,Wald,,NM_181755.1:155
SGCE-mRNA,0.0476,0.142,-0.23,0.325,1.03,0.853,1.25,0.74,1,lm.nb,Cytoskeletal Dynamics,NM_001099400.1:1238
PTPRC-mRNA,0.594,1.77,-2.87,4.06,1.51,0.136,16.7,0.741,1,Wald,"Cell Migration, Phagocytosis, T-cell signaling",NM_080923.2:154
SIRPA-mRNA,-0.0493,0.147,-0.338,0.24,0.966,0.791,1.18,0.742,1,lm.nb,NO Metabolism and Signaling,NM_001040022.1:1573
TLR3-mRNA,0.291,0.871,-1.42,2,1.22,0.375,4,0.742,1,Wald,NF-kappaB Signaling,NM_003265.2:230
P2RY11-mRNA,0.458,1.38,-2.25,3.16,1.37,0.211,8.95,0.744,1,Wald,"Neuroactive Ligands and Receptors, Purinergic Signaling",NM_002566.4:729
PLLP-mRNA,-0.0955,0.297,-0.677,0.487,0.936,0.625,1.4,0.751,1,lm.nb,Myelogenesis,NM_015993.2:395
SYT13-mRNA,0.0828,0.261,-0.429,0.594,1.06,0.743,1.51,0.754,1,lm.nb,Cytoskeletal Dynamics,NM_001247987.2:848
MAD2L1-mRNA,-0.47,1.48,-3.38,2.44,0.722,0.0963,5.41,0.755,1,Wald,Cell Cycle,NM_002358.3:182
JAK2-mRNA,0.0663,0.209,-0.344,0.477,1.05,0.788,1.39,0.755,1,lm.nb,"JAK-STAT, NO Metabolism and Signaling",NM_004972.3:1464
IRF8-mRNA,0.579,1.85,-3.04,4.2,1.49,0.121,18.4,0.757,1,Wald,Interferon Signaling,NM_002163.2:253
KLRK1-mRNA,0.342,1.15,-1.9,2.59,1.27,0.267,6.02,0.769,1,Wald,,NM_007360.1:760
MAPK13-mRNA,0.501,1.69,-2.8,3.8,1.41,0.143,14,0.77,1,Wald,MAPK & PI3K,NM_002754.3:1050
ITGAM-mRNA,0.668,2.28,-3.8,5.14,1.59,0.0716,35.3,0.773,1,Wald,Cell Migration,NM_000632.3:515
SHANK2-mRNA,-0.0489,0.17,-0.382,0.284,0.967,0.768,1.22,0.776,1,lm.nb,"Cytoskeletal Dynamics, Glutamatergic Synapse, Neurogenesis",NM_012309.4:1992
CACNA1B-mRNA,-0.0591,0.207,-0.465,0.347,0.96,0.725,1.27,0.778,1,lm.nb,"Calcium Signaling, Dopaminergic Synapse, GABAergic Synapse, Ion Transport, MAPK & PI3K, Serotonergic Synapse",NM_000718.3:3664
ALDH1A1-mRNA,-0.427,1.5,-3.36,2.5,0.744,0.0975,5.68,0.778,1,Wald,Astrocyte Markers,NM_000689.3:11
FPR1-mRNA,0.401,1.41,-2.36,3.16,1.32,0.195,8.94,0.779,1,Wald,"Cytokines, Neuroactive Ligands and Receptors",NM_002029.3:350
CALM3-mRNA,-0.0772,0.273,-0.613,0.458,0.948,0.654,1.37,0.78,1,lm.nb,Calcium Signaling,NM_005184.4:405
ADGRL4-mRNA,-0.386,1.4,-3.13,2.36,0.765,0.114,5.12,0.786,1,Wald,Blood Brain Barrier,NM_022159.3:1980
CFI-mRNA,0.345,1.27,-2.14,2.83,1.27,0.227,7.1,0.789,1,Wald,Complement System,NM_000204.3:764
RASA1-mRNA,0.0384,0.149,-0.253,0.33,1.03,0.839,1.26,0.799,1,lm.nb,"Angiogenesis, MAPK & PI3K",NM_002890.2:980
GAL3ST1-mRNA,0.496,1.93,-3.28,4.27,1.41,0.103,19.4,0.8,1,Wald,Myelogenesis,NM_004861.1:1378
ALDH1L1-mRNA,-0.0783,0.306,-0.678,0.521,0.947,0.625,1.43,0.801,1,lm.nb,Astrocyte Markers,NM_012190.2:329
SLC25A4-mRNA,0.0542,0.212,-0.361,0.469,1.04,0.779,1.38,0.801,1,lm.nb,Calcium Signaling,NM_001151.4:375
KCNQ5-mRNA,0.0572,0.224,-0.382,0.496,1.04,0.767,1.41,0.801,1,lm.nb,"Cholinergic Synapse, Ion Transport",NM_001160132.1:1385
LPL-mRNA,-0.522,2.05,-4.55,3.5,0.696,0.0428,11.3,0.802,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Stage 2 DAM",NM_000237.2:736
ABCG2-mRNA,0.0789,0.315,-0.538,0.696,1.06,0.689,1.62,0.805,1,lm.nb,Blood Brain Barrier,NM_004827.2:2025
CNTNAP1-mRNA,-0.0696,0.279,-0.617,0.478,0.953,0.652,1.39,0.806,1,lm.nb,"Cell Migration, Cytoskeletal Dynamics, Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_003632.2:4050
SYBU-mRNA,-0.0505,0.203,-0.448,0.347,0.966,0.733,1.27,0.806,1,lm.nb,Cytoskeletal Dynamics,NM_001099744.1:1492
KCND2-mRNA,0.0494,0.198,-0.34,0.438,1.03,0.79,1.36,0.806,1,lm.nb,"Ion Transport, Serotonergic Synapse",NM_012281.3:1645
CD4-mRNA,0.292,1.19,-2.03,2.62,1.22,0.244,6.14,0.808,1,Wald,T-cell signaling,NM_000616.4:975
CD9-mRNA,-0.0795,0.34,-0.746,0.587,0.946,0.596,1.5,0.818,1,lm.nb,"Myelogenesis, Neurogenesis, Oligodendrocyte DifferentiationMaturation, Primed Microglia, Stage 2 DAM",NM_001769.2:405
ATP6V1G2-mRNA,-0.0597,0.257,-0.563,0.443,0.959,0.677,1.36,0.818,1,lm.nb,"Ion Transport, Phagocytosis",NM_130463.4:277
ICAM2-mRNA,-0.0869,0.375,-0.822,0.648,0.942,0.566,1.57,0.819,1,lm.nb,Cell Migration,NM_000873.3:415
STMN4-mRNA,-0.0496,0.215,-0.47,0.371,0.966,0.722,1.29,0.82,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Oligodendrocyte Markers",NM_030795.2:362
CD14-mRNA,0.0957,0.417,-0.723,0.914,1.07,0.606,1.88,0.821,1,lm.nb,"A2 Astrocyte, NF-kappaB Signaling",NM_000591.2:885
TIE1-mRNA,0.397,1.73,-3,3.79,1.32,0.125,13.8,0.821,1,Wald,,NM_005424.2:2610
CNR1-mRNA,-0.0422,0.189,-0.412,0.328,0.971,0.751,1.26,0.825,1,lm.nb,"Cannabinoid Signaling, Neuroactive Ligands and Receptors",NM_001160226.1:1576
CLTA-mRNA,0.0259,0.118,-0.205,0.256,1.02,0.868,1.19,0.828,1,lm.nb,"Gap Junctions, Wnt Signaling",NM_001184762.1:421
AXL-mRNA,0.0533,0.242,-0.421,0.528,1.04,0.747,1.44,0.828,1,lm.nb,"Angiogenesis, Astrocyte Markers, Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis, Primed Microglia, Stage 2 DAM",NM_021913.2:2190
ARNTL-mRNA,0.042,0.192,-0.334,0.418,1.03,0.793,1.34,0.829,1,lm.nb,"Circadian Signaling, Dopaminergic Synapse",NM_001030272.1:840
SLC2A5-mRNA,0.35,1.68,-2.94,3.64,1.27,0.13,12.5,0.837,1,Wald,"Glucose Metabolism, Microglial Markers, Primed Microglia",NM_003039.2:711
IL34-mRNA,-0.257,1.26,-2.72,2.21,0.837,0.151,4.62,0.84,1,Wald,Cytokines,NM_152456.1:860
NLRP1-mRNA,0.368,1.8,-3.17,3.9,1.29,0.111,15,0.841,1,Wald,Inflammasome,NM_033004.2:2135
HACD2-mRNA,-0.0298,0.146,-0.316,0.257,0.98,0.803,1.19,0.841,1,lm.nb,Lipid Metabolism,NM_198402.2:510
ATP2B4-mRNA,0.032,0.159,-0.28,0.344,1.02,0.823,1.27,0.843,1,lm.nb,"Calcium Signaling, Ion Transport, NO Metabolism and Signaling",NM_001684.4:2863
YWHAG-mRNA,-0.0492,0.252,-0.542,0.444,0.966,0.687,1.36,0.847,1,lm.nb,"Cell Cycle, Neurogenesis",NM_012479.4:389
ALAS1-mRNA,-0.0285,0.146,-0.315,0.258,0.98,0.804,1.2,0.848,1,lm.nb,Primed Microglia,NM_000688.4:395
DNM3-mRNA,0.0282,0.146,-0.258,0.314,1.02,0.836,1.24,0.849,1,lm.nb,"Antigen Processing and Presentation, Cytoskeletal Dynamics, Neurogenesis",NM_015569.3:750
NES-mRNA,0.065,0.339,-0.599,0.729,1.05,0.66,1.66,0.85,1,lm.nb,Cytoskeletal Dynamics,NM_006617.1:2345
SLPI-mRNA,0.152,0.8,-1.42,1.72,1.11,0.375,3.29,0.851,1,lm.nb,NF-kappaB Signaling,NM_003064.2:330
CCR5-mRNA,0.401,2.12,-3.75,4.55,1.32,0.0744,23.4,0.852,1,Wald,"Chemokines, Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_000579.3:366
UNC79-mRNA,0.0315,0.168,-0.298,0.361,1.02,0.813,1.28,0.853,1,lm.nb,Ion Transport,NM_020818.5:1586
TNFRSF11A-mRNA,-0.237,1.28,-2.75,2.28,0.849,0.149,4.84,0.855,1,Wald,"Cytokines, NF-kappaB Signaling",NM_003839.3:226
SLCO2B1-mRNA,0.385,2.11,-3.76,4.53,1.31,0.0739,23.1,0.857,1,Wald,"Microglial Markers, Primed Microglia",NM_001145211.2:1974
SLC6A1-mRNA,-0.051,0.28,-0.601,0.499,0.965,0.66,1.41,0.857,1,lm.nb,"Astrocyte Markers, GABAergic Synapse",NM_003042.3:1315
NEFH-mRNA,0.122,0.673,-1.2,1.44,1.09,0.436,2.72,0.858,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Neuronal Markers",NM_021076.3:1350
SORL1-mRNA,-0.0256,0.142,-0.304,0.252,0.982,0.81,1.19,0.859,1,lm.nb,"Microglial Markers, Neurogenesis",NM_003105.4:2599
STAB1-mRNA,0.273,1.53,-2.73,3.27,1.21,0.151,9.67,0.86,1,Wald,Phagocytosis,NM_015136.2:95
CHRM2-mRNA,-0.17,0.96,-2.05,1.71,0.889,0.241,3.27,0.861,1,Wald,"Calcium Signaling, Cholinergic Synapse, Neuroactive Ligands and Receptors",NM_001006630.1:1170
CDK7-mRNA,-0.436,2.48,-5.29,4.42,0.739,0.0256,21.4,0.862,1,Wald,Cell Cycle,NM_001799.2:785
LYZ-mRNA,0.186,1.06,-1.89,2.27,1.14,0.269,4.81,0.862,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Stage 1 DAM",NM_000239.2:305
BASP1-mRNA,0.0336,0.193,-0.345,0.412,1.02,0.788,1.33,0.863,1,lm.nb,Cytoskeletal Dynamics,NM_006317.4:675
GRK3-mRNA,0.0444,0.258,-0.46,0.549,1.03,0.727,1.46,0.865,1,lm.nb,Glutamatergic Synapse,NM_005160.2:1265
CLCF1-mRNA,-0.164,0.981,-2.09,1.76,0.893,0.235,3.39,0.869,1,Wald,"A2 Astrocyte, Cytokines, Neurogenesis",NM_013246.2:452
LSR-mRNA,0.283,1.77,-3.19,3.75,1.22,0.11,13.5,0.875,1,Wald,Blood Brain Barrier,NM_205835.3:1888
DLX1-mRNA,0.287,1.8,-3.24,3.82,1.22,0.106,14.1,0.875,1,Wald,"Neurogenesis, Oligodendrocyte DifferentiationMaturation, TGF-Beta Signaling",NM_001038493.2:240
HMOX1-mRNA,-0.0694,0.441,-0.933,0.794,0.953,0.524,1.73,0.876,1,lm.nb,Hypoxia,NM_002133.2:781
ADCY1-mRNA,-0.0427,0.273,-0.578,0.493,0.971,0.67,1.41,0.877,1,lm.nb,Calcium Signaling,NM_001281768.1:1006
SRGN-mRNA,0.0408,0.263,-0.474,0.556,1.03,0.72,1.47,0.878,1,lm.nb,A1 Astrocyte,NM_002727.3:462
ADRB1-mRNA,0.21,1.36,-2.45,2.87,1.16,0.182,7.33,0.879,1,Wald,"Calcium Signaling, Neuroactive Ligands and Receptors",NM_000684.1:795
MYCT1-mRNA,0.258,1.7,-3.07,3.58,1.2,0.119,12,0.881,1,Wald,,NM_025107.2:159
ULK1-mRNA,0.0237,0.156,-0.282,0.33,1.02,0.822,1.26,0.881,1,lm.nb,"Autophagy, Neurogenesis",NM_003565.1:465
SLC8A1-mRNA,-0.0434,0.287,-0.606,0.519,0.97,0.657,1.43,0.881,1,lm.nb,Calcium Signaling,NM_021097.1:440
CNTF-mRNA,0.6,3.98,-7.19,8.39,1.52,0.00684,336,0.882,1,Wald,"Astrocyte DifferentiationFunction, Cytokines, Cytoskeletal Dynamics, Neurogenesis",NM_000614.3:45
STAMBPL1-mRNA,0.0356,0.236,-0.427,0.498,1.02,0.744,1.41,0.882,1,lm.nb,Primed Microglia,NM_020799.2:1600
CD68-mRNA,0.239,1.61,-2.92,3.4,1.18,0.132,10.5,0.884,1,Wald,"Microglial Markers, Primed Microglia",NM_001251.2:1140
ADGRA2-mRNA,0.221,1.51,-2.74,3.18,1.17,0.15,9.07,0.885,1,Wald,Blood Brain Barrier,NM_032777.9:1278
MTOR-mRNA,0.0139,0.095,-0.172,0.2,1.01,0.887,1.15,0.885,1,lm.nb,"Autophagy, Insulin Signaling, Neurogenesis",NM_004958.3:1865
GLUL-mRNA,-0.0343,0.24,-0.505,0.436,0.977,0.705,1.35,0.888,1,lm.nb,"GABAergic Synapse, Glutamatergic Synapse, Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_002065.6:1485
TBR1-mRNA,0.235,1.67,-3.03,3.5,1.18,0.122,11.3,0.889,1,Wald,Neurogenesis,NM_006593.4:345
NRG1-mRNA,-0.222,1.59,-3.33,2.89,0.857,0.0992,7.41,0.89,1,Wald,"Myelogenesis, Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_004495.2:995
UBE2G1-mRNA,0.0136,0.0999,-0.182,0.21,1.01,0.881,1.16,0.893,1,lm.nb,"Antigen Processing and Presentation, Proteotoxic Stress",NM_003342.4:653
THY1-mRNA,0.0355,0.265,-0.485,0.556,1.02,0.715,1.47,0.895,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_006288.4:1378
PLCB4-mRNA,-0.0221,0.17,-0.355,0.311,0.985,0.782,1.24,0.898,1,lm.nb,"Calcium Signaling, Wnt Signaling",NM_182797.2:994
MAP2-mRNA,0.0259,0.209,-0.384,0.436,1.02,0.766,1.35,0.902,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Neuronal Markers",NM_001039538.1:1156
PTGIS-mRNA,0.203,1.65,-3.03,3.43,1.15,0.123,10.8,0.903,1,Wald,"Lipid Metabolism, NO Metabolism and Signaling",NM_000961.3:1409
USP2-mRNA,-0.0266,0.219,-0.456,0.403,0.982,0.729,1.32,0.904,1,lm.nb,"Microglial Markers, Primed Microglia",NM_001243759.1:676
DLX2-mRNA,0.304,2.54,-4.68,5.29,1.23,0.0389,39.2,0.906,1,Wald,"Neurogenesis, Oligodendrocyte DifferentiationMaturation, TGF-Beta Signaling",NM_004405.3:590
DAGLA-mRNA,-0.027,0.23,-0.478,0.423,0.981,0.718,1.34,0.908,1,lm.nb,"Cannabinoid Signaling, Cytoskeletal Dynamics, Neurogenesis",NM_006133.2:150
P2RY13-mRNA,0.219,1.96,-3.63,4.07,1.16,0.0809,16.7,0.912,1,Wald,"Microglial Markers, Neuroactive Ligands and Receptors, Primed Microglia, Purinergic Signaling",NM_176894.2:211
THRB-mRNA,-0.0207,0.2,-0.412,0.371,0.986,0.751,1.29,0.918,1,lm.nb,Neuroactive Ligands and Receptors,NM_000461.4:385
CACNA2D1-mRNA,-0.0157,0.151,-0.312,0.281,0.989,0.806,1.21,0.919,1,lm.nb,"Calcium Signaling, Ion Transport",NM_000722.2:335
KCNK13-mRNA,0.197,1.91,-3.55,3.94,1.15,0.0856,15.3,0.919,1,Wald,Ion Transport,NM_022054.3:1184
SMAD3-mRNA,-0.0232,0.238,-0.49,0.443,0.984,0.712,1.36,0.923,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, TGF-Beta Signaling, Wnt Signaling",NM_005902.3:1490
E2F3-mRNA,-0.254,2.62,-5.39,4.88,0.838,0.0238,29.5,0.924,1,Wald,Cell Cycle,NM_001243076.2:290
CRKL-mRNA,-0.0108,0.115,-0.236,0.215,0.993,0.849,1.16,0.926,1,lm.nb,"Insulin Signaling, MAPK & PI3K, Neurotrophin Signaling, Phagocytosis",NM_005207.4:885
FLT1-mRNA,0.0282,0.302,-0.564,0.621,1.02,0.676,1.54,0.926,1,lm.nb,"Hypoxia, MAPK & PI3K",NM_002019.4:530
EGF-mRNA,0.264,2.85,-5.33,5.86,1.2,0.0249,58,0.927,1,Wald,"Cytokines, MAPK & PI3K",NM_001963.4:1022
KCND1-mRNA,0.234,2.56,-4.79,5.26,1.18,0.0362,38.3,0.928,1,Wald,Ion Transport,NM_004979.4:2400
B2M-mRNA,0.0282,0.312,-0.583,0.639,1.02,0.668,1.56,0.929,1,lm.nb,"Antigen Processing and Presentation, Primed Microglia, Stage 1 DAM",NM_004048.2:235
ADORA2B-mRNA,-0.186,2.1,-4.3,3.92,0.879,0.0509,15.2,0.93,1,Wald,"Calcium Signaling, Neuroactive Ligands and Receptors, Purinergic Signaling",NM_000676.2:1043
ATG12-mRNA,-0.012,0.138,-0.283,0.259,0.992,0.822,1.2,0.932,1,lm.nb,Autophagy,NM_004707.3:634
CROT-mRNA,-0.451,5.2,-10.6,9.74,0.732,0.000625,856,0.932,1,Wald,Lipid Metabolism,NM_021151.4:186
PHYH-mRNA,-0.256,2.99,-6.12,5.61,0.838,0.0144,48.7,0.933,1,Wald,Lipid Metabolism,NM_001037537.1:1015
ISLR2-mRNA,0.192,2.3,-4.32,4.7,1.14,0.0502,26,0.934,1,Wald,Neurogenesis,NM_001130136.1:820
NLRP3-mRNA,-0.205,2.5,-5.11,4.7,0.867,0.0289,26.1,0.936,1,Wald,Inflammasome,NM_001079821.2:415
P2RY14-mRNA,0.124,1.54,-2.9,3.15,1.09,0.134,8.85,0.937,1,Wald,"Neuroactive Ligands and Receptors, Purinergic Signaling",NM_014879.2:205
CAMK2D-mRNA,-0.0122,0.152,-0.311,0.287,0.992,0.806,1.22,0.937,1,lm.nb,Calcium Signaling,NM_172127.1:505
TRIM45-mRNA,-0.188,2.35,-4.79,4.42,0.878,0.036,21.4,0.937,1,Wald,Interferon Signaling,NM_025188.4:1500
VIM-mRNA,0.0321,0.423,-0.797,0.861,1.02,0.576,1.82,0.94,1,lm.nb,"Astrocyte DifferentiationFunction, Astrocyte Markers, Cytoskeletal Dynamics",NM_003380.2:694
APOE-mRNA,-0.0231,0.307,-0.624,0.578,0.984,0.649,1.49,0.941,1,lm.nb,"Astrocyte Markers, Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, Stage 1 DAM",NM_000041.2:96
CACNA1E-mRNA,0.133,2.05,-3.89,4.15,1.1,0.0676,17.8,0.949,1,Wald,"Calcium Signaling, Ion Transport, MAPK & PI3K",NM_000721.3:4830
RASGRP1-mRNA,-0.032,0.501,-1.01,0.95,0.978,0.495,1.93,0.95,1,lm.nb,"MAPK & PI3K, T-cell signaling",NM_005739.3:365
HSPA1A-mRNA,-0.0412,0.645,-1.31,1.22,0.972,0.404,2.34,0.95,1,lm.nb,"Microglial Markers, Proteotoxic Stress",NM_005345.5:1875
GRIA2-mRNA,0.012,0.193,-0.366,0.39,1.01,0.776,1.31,0.951,1,lm.nb,"Cannabinoid Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_001083620.1:865
CKB-mRNA,0.00987,0.163,-0.309,0.329,1.01,0.807,1.26,0.952,1,lm.nb,"Astrocyte Markers, Primed Microglia",NM_001823.4:320
GZMB-mRNA,0.0859,1.44,-2.73,2.91,1.06,0.15,7.49,0.953,1,Wald,Apoptosis,NM_004131.3:540
RNASEL-mRNA,0.131,2.29,-4.35,4.61,1.09,0.049,24.5,0.955,1,Wald,Interferon Signaling,NM_021133.3:1094
PDHA1-mRNA,0.00509,0.0924,-0.176,0.186,1,0.885,1.14,0.957,1,lm.nb,Glucose Metabolism,NM_000284.3:1080
NGF-mRNA,0.0731,1.34,-2.55,2.69,1.05,0.171,6.46,0.957,1,Wald,"Cytokines, Cytoskeletal Dynamics, Neurogenesis, Neurotrophin Signaling",NM_002506.2:634
TRIM46-mRNA,0.0725,1.33,-2.54,2.69,1.05,0.172,6.43,0.957,1,Wald,"Cytoskeletal Dynamics, Interferon Signaling, Neurogenesis",NM_025058.4:848
B3GNT5-mRNA,0.0812,1.54,-2.93,3.1,1.06,0.131,8.56,0.958,1,Wald,A2 Astrocyte,NM_032047.4:688
NOSTRIN-mRNA,0.0769,1.5,-2.85,3.01,1.05,0.138,8.04,0.96,1,Wald,,NM_001039724.3:1125
SELENOS-mRNA,0.128,2.53,-4.83,5.09,1.09,0.0351,34,0.96,1,Wald,"NO Metabolism and Signaling, Proteotoxic Stress",NM_203472.1:466
RXFP1-mRNA,-0.0447,0.937,-1.88,1.79,0.969,0.272,3.46,0.962,1,Wald,Neuroactive Ligands and Receptors,NM_021634.4:719
